  Psi0s, Psi_finals, np.log10(F_esc)
  25.85600,  25.85600, -11.59772
  25.84800,  25.84800, -11.59418
  25.84000,  25.84000, -11.59065
  25.83200,  25.83200, -11.58711
  25.82400,  25.82400, -11.58357
  25.81600,  25.81600, -11.58003
  25.80800,  25.80800, -11.57650
  25.80000,  25.80000, -11.57296
  25.79200,  25.79200, -11.56942
  25.78400,  25.78400, -11.56588
  25.77600,  25.77600, -11.56235
  25.76800,  25.76800, -11.55881
  25.76000,  25.76000, -11.55527
  25.75200,  25.75200, -11.55174
  25.74400,  25.74400, -11.54820
  25.73600,  25.73600, -11.54466
  25.72800,  25.72800, -11.54112
  25.72000,  25.72000, -11.53759
  25.71200,  25.71200, -11.53405
  25.70400,  25.70400, -11.53051
  25.69600,  25.69600, -11.52697
  25.68800,  25.68800, -11.52344
  25.68000,  25.68000, -11.51990
  25.67200,  25.67200, -11.51636
  25.66400,  25.66400, -11.51282
  25.65600,  25.65600, -11.50929
  25.64800,  25.64800, -11.50575
  25.64000,  25.64000, -11.50221
  25.63200,  25.63200, -11.49867
  25.62400,  25.62400, -11.49514
  25.61600,  25.61600, -11.49160
  25.60800,  25.60800, -11.48806
  25.60000,  25.60000, -11.48452
  25.59200,  25.59200, -11.48098
  25.58400,  25.58400, -11.47745
  25.57600,  25.57600, -11.47391
  25.56800,  25.56800, -11.47037
  25.56000,  25.56000, -11.46683
  25.55200,  25.55200, -11.46330
  25.54400,  25.54400, -11.45976
  25.53600,  25.53600, -11.45622
  25.52800,  25.52800, -11.45268
  25.52000,  25.52000, -11.44914
  25.51200,  25.51200, -11.44561
  25.50400,  25.50400, -11.44207
  25.49600,  25.49600, -11.43853
  25.48800,  25.48800, -11.43499
  25.48000,  25.48000, -11.43146
  25.47200,  25.47200, -11.42792
  25.46400,  25.46400, -11.42438
  25.45600,  25.45600, -11.42084
  25.44800,  25.44800, -11.41730
  25.44000,  25.44000, -11.41377
  25.43200,  25.43200, -11.41023
  25.42400,  25.42400, -11.40669
  25.41600,  25.41600, -11.40315
  25.40800,  25.40800, -11.39961
  25.40000,  25.40000, -11.39607
  25.39200,  25.39200, -11.39254
  25.38400,  25.38400, -11.38900
  25.37600,  25.37600, -11.38546
  25.36800,  25.36800, -11.38192
  25.36000,  25.36000, -11.37838
  25.35200,  25.35200, -11.37485
  25.34400,  25.34400, -11.37131
  25.33600,  25.33600, -11.36777
  25.32800,  25.32800, -11.36423
  25.32000,  25.32000, -11.36069
  25.31200,  25.31200, -11.35715
  25.30400,  25.30400, -11.35362
  25.29600,  25.29600, -11.35008
  25.28800,  25.28800, -11.34654
  25.28000,  25.28000, -11.34300
  25.27200,  25.27200, -11.33946
  25.26400,  25.26400, -11.33592
  25.25600,  25.25600, -11.33239
  25.24800,  25.24800, -11.32885
  25.24000,  25.24000, -11.32531
  25.23200,  25.23200, -11.32177
  25.22400,  25.22400, -11.31823
  25.21600,  25.21600, -11.31469
  25.20800,  25.20800, -11.31115
  25.20000,  25.20000, -11.30762
  25.19200,  25.19200, -11.30408
  25.18400,  25.18400, -11.30054
  25.17600,  25.17600, -11.29700
  25.16800,  25.16800, -11.29346
  25.16000,  25.16000, -11.28992
  25.15200,  25.15200, -11.28638
  25.14400,  25.14400, -11.28285
  25.13600,  25.13600, -11.27931
  25.12800,  25.12800, -11.27577
  25.12000,  25.12000, -11.27223
  25.11200,  25.11200, -11.26869
  25.10400,  25.10400, -11.26515
  25.09600,  25.09600, -11.26161
  25.08800,  25.08800, -11.25807
  25.08000,  25.08000, -11.25454
  25.07200,  25.07200, -11.25100
  25.06400,  25.06400, -11.24746
  25.05600,  25.05600, -11.24392
  25.04800,  25.04800, -11.24038
  25.04000,  25.04000, -11.23684
  25.03200,  25.03200, -11.23330
  25.02400,  25.02400, -11.22976
  25.01600,  25.01600, -11.22622
  25.00800,  25.00800, -11.22269
  25.00000,  25.00000, -11.21915
  24.99200,  24.99200, -11.21561
  24.98400,  24.98400, -11.21207
  24.97600,  24.97600, -11.20853
  24.96800,  24.96800, -11.20499
  24.96000,  24.96000, -11.20145
  24.95200,  24.95200, -11.19791
  24.94400,  24.94400, -11.19437
  24.93600,  24.93600, -11.19083
  24.92800,  24.92800, -11.18729
  24.92000,  24.92000, -11.18376
  24.91200,  24.91200, -11.18022
  24.90400,  24.90400, -11.17668
  24.89600,  24.89600, -11.17314
  24.88800,  24.88800, -11.16960
  24.88000,  24.88000, -11.16606
  24.87200,  24.87200, -11.16252
  24.86400,  24.86400, -11.15898
  24.85600,  24.85600, -11.15544
  24.84800,  24.84800, -11.15190
  24.84000,  24.84000, -11.14836
  24.83200,  24.83200, -11.14482
  24.82400,  24.82400, -11.14128
  24.81600,  24.81600, -11.13774
  24.80800,  24.80800, -11.13420
  24.80000,  24.80000, -11.13066
  24.79200,  24.79200, -11.12713
  24.78400,  24.78400, -11.12359
  24.77600,  24.77600, -11.12005
  24.76800,  24.76800, -11.11651
  24.76000,  24.76000, -11.11297
  24.75200,  24.75200, -11.10943
  24.74400,  24.74400, -11.10589
  24.73600,  24.73600, -11.10235
  24.72800,  24.72800, -11.09881
  24.72000,  24.72000, -11.09527
  24.71200,  24.71200, -11.09173
  24.70400,  24.70400, -11.08819
  24.69600,  24.69600, -11.08465
  24.68800,  24.68800, -11.08111
  24.68000,  24.68000, -11.07757
  24.67200,  24.67200, -11.07403
  24.66400,  24.66400, -11.07049
  24.65600,  24.65600, -11.06695
  24.64800,  24.64800, -11.06341
  24.64000,  24.64000, -11.05987
  24.63200,  24.63200, -11.05633
  24.62400,  24.62400, -11.05279
  24.61600,  24.61600, -11.04925
  24.60800,  24.60800, -11.04571
  24.60000,  24.60000, -11.04217
  24.59200,  24.59200, -11.03863
  24.58400,  24.58400, -11.03509
  24.57600,  24.57600, -11.03155
  24.56800,  24.56800, -11.02801
  24.56000,  24.56000, -11.02447
  24.55200,  24.55200, -11.02093
  24.54400,  24.54400, -11.01739
  24.53600,  24.53600, -11.01385
  24.52800,  24.52800, -11.01031
  24.52000,  24.52000, -11.00677
  24.51200,  24.51200, -11.00323
  24.50400,  24.50400, -10.99969
  24.49600,  24.49600, -10.99615
  24.48800,  24.48800, -10.99261
  24.48000,  24.48000, -10.98907
  24.47200,  24.47200, -10.98553
  24.46400,  24.46400, -10.98199
  24.45600,  24.45600, -10.97845
  24.44800,  24.44800, -10.97491
  24.44000,  24.44000, -10.97137
  24.43200,  24.43200, -10.96783
  24.42400,  24.42400, -10.96429
  24.41600,  24.41600, -10.96075
  24.40800,  24.40800, -10.95721
  24.40000,  24.40000, -10.95367
  24.39200,  24.39200, -10.95013
  24.38400,  24.38400, -10.94658
  24.37600,  24.37600, -10.94304
  24.36800,  24.36800, -10.93950
  24.36000,  24.36000, -10.93596
  24.35200,  24.35200, -10.93242
  24.34400,  24.34400, -10.92888
  24.33600,  24.33600, -10.92534
  24.32800,  24.32800, -10.92180
  24.32000,  24.32000, -10.91826
  24.31200,  24.31200, -10.91472
  24.30400,  24.30400, -10.91118
  24.29600,  24.29600, -10.90764
  24.28800,  24.28800, -10.90410
  24.28000,  24.28000, -10.90056
  24.27200,  24.27200, -10.89702
  24.26400,  24.26400, -10.89347
  24.25600,  24.25600, -10.88993
  24.24800,  24.24800, -10.88639
  24.24000,  24.24000, -10.88285
  24.23200,  24.23200, -10.87931
  24.22400,  24.22400, -10.87577
  24.21600,  24.21600, -10.87223
  24.20800,  24.20800, -10.86869
  24.20000,  24.20000, -10.86515
  24.19200,  24.19200, -10.86161
  24.18400,  24.18400, -10.85807
  24.17600,  24.17600, -10.85452
  24.16800,  24.16800, -10.85098
  24.16000,  24.16000, -10.84744
  24.15200,  24.15200, -10.84390
  24.14400,  24.14400, -10.84036
  24.13600,  24.13600, -10.83682
  24.12800,  24.12800, -10.83328
  24.12000,  24.12000, -10.82974
  24.11200,  24.11200, -10.82620
  24.10400,  24.10400, -10.82265
  24.09600,  24.09600, -10.81911
  24.08800,  24.08800, -10.81557
  24.08000,  24.08000, -10.81203
  24.07200,  24.07200, -10.80849
  24.06400,  24.06400, -10.80495
  24.05600,  24.05600, -10.80141
  24.04800,  24.04800, -10.79787
  24.04000,  24.04000, -10.79432
  24.03200,  24.03200, -10.79078
  24.02400,  24.02400, -10.78724
  24.01600,  24.01600, -10.78370
  24.00800,  24.00800, -10.78016
  24.00000,  24.00000, -10.77662
  23.99200,  23.99200, -10.77308
  23.98400,  23.98400, -10.76953
  23.97600,  23.97600, -10.76599
  23.96800,  23.96800, -10.76245
  23.96000,  23.96000, -10.75891
  23.95200,  23.95200, -10.75537
  23.94400,  23.94400, -10.75183
  23.93600,  23.93600, -10.74828
  23.92800,  23.92800, -10.74474
  23.92000,  23.92000, -10.74120
  23.91200,  23.91200, -10.73766
  23.90400,  23.90400, -10.73412
  23.89600,  23.89600, -10.73058
  23.88800,  23.88800, -10.72703
  23.88000,  23.88000, -10.72349
  23.87200,  23.87200, -10.71995
  23.86400,  23.86400, -10.71641
  23.85600,  23.85600, -10.71287
  23.84800,  23.84800, -10.70933
